,model,mcc,accuracy
0,WeightedEnsemble_L3,0.6153447830551216,0.7529411764705882
1,NeuralNetTorch_BAG_L2,0.6132607427128763,0.7511465603190429
2,LightGBMXT_BAG_L2,0.6129002412082654,0.7511465603190429
3,LightGBMLarge_BAG_L2,0.6079988809162161,0.748554336989033
4,XGBoost_BAG_L2,0.6072085355391738,0.7471585244267198
5,NeuralNetFastAI_BAG_L2,0.6071851788476681,0.7457627118644068
6,ExtraTreesEntr_BAG_L2,0.6048609716515515,0.7463609172482553
7,RandomForestGini_BAG_L2,0.6029306905735042,0.744765702891326
8,LightGBM_BAG_L2,0.6019621361340495,0.7455633100697906
9,RandomForestEntr_BAG_L2,0.59821787450179,0.7417746759720838
10,ExtraTreesGini_BAG_L2,0.5973060386793938,0.7413758723828514
11,CatBoost_BAG_L2,0.5955763840393081,0.7399800598205384
12,LightGBMXT_BAG_L1,0.5928142030883701,0.7401794616151546
13,WeightedEnsemble_L2,0.5928142030883701,0.7401794616151546
14,XGBoost_BAG_L1,0.5919621084739958,0.7393818544366899
15,LightGBMLarge_BAG_L1,0.5917093079343088,0.7395812562313061
16,LightGBM_BAG_L1,0.5905942523055472,0.7387836490528414
17,RandomForestEntr_BAG_L1,0.5702195616929591,0.7264207377866401
18,RandomForestGini_BAG_L1,0.5689093726175322,0.7256231306081755
19,CatBoost_BAG_L1,0.5676747787571987,0.7244267198404786
20,ExtraTreesEntr_BAG_L1,0.5481482312238598,0.7124626121635095
21,ExtraTreesGini_BAG_L1,0.5480781191878666,0.7126620139581257
22,NeuralNetTorch_BAG_L1,0.5331940536185164,0.6991026919242274
23,NeuralNetFastAI_BAG_L1,0.48065434498798176,0.66839481555334
24,KNeighborsDist_BAG_L1,0.34257977332293277,0.5808574277168495
25,KNeighborsUnif_BAG_L1,0.32481107275759713,0.564506480558325
